Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,398.8,399.36,394.02,397.97,2137800,397.97,0.0,397.97,397.97
2014-01-03,2014,1,3,Friday,00,2014-00,398.29,402.71,396.22,396.44,2210200,396.44,-0.0038445078136640776,397.20500000000004,397.20500000000004
2014-01-06,2014,1,6,Monday,01,2014-01,395.85,397.0,388.42,393.63,3170600,393.63,-0.0070880777451540755,396.0133333333333,396.0133333333333
2014-01-07,2014,1,7,Tuesday,01,2014-01,395.04,398.47,394.29,398.03,1916000,398.03,0.01117799416178733,396.5175,396.5175
2014-01-08,2014,1,8,Wednesday,01,2014-01,398.47,403.0,396.04,401.92,2316500,401.92,0.009773169510759683,397.598,397.598
2014-01-09,2014,1,9,Thursday,01,2014-01,403.71,406.89,398.44,401.01,2103000,401.01,-0.0022641412015005358,398.1666666666667,398.1666666666667
2014-01-10,2014,1,10,Friday,01,2014-01,402.53,403.76,393.8,397.66,2679500,397.66,-0.008353921403292608,398.0942857142857,398.0942857142857
2014-01-13,2014,1,13,Monday,02,2014-02,397.98,399.78,388.45,390.98,2844900,390.98,-0.016798251305799483,397.205,397.205
2014-01-14,2014,1,14,Tuesday,02,2014-02,392.13,398.63,391.29,397.54,2340100,397.54,0.01677834511806564,397.2422222222222,397.2422222222222
2014-01-15,2014,1,15,Wednesday,02,2014-02,398.94,399.31,392.53,395.87,2678300,395.87,-0.004200868822856307,397.10499999999996,397.10499999999996
2014-01-16,2014,1,16,Thursday,02,2014-02,393.68,399.29,389.41,395.8,2601200,395.8,-0.00017684422937391808,396.9863636363636,396.9863636363636
2014-01-17,2014,1,17,Friday,02,2014-02,394.26,403.49,393.66,399.61,4505100,399.61,0.009626067903232505,397.2049999999999,397.2049999999999
2014-01-21,2014,1,21,Tuesday,03,2014-03,403.0,407.8,401.6,407.05,3122100,407.05,0.01861815949083656,397.96230769230766,397.96230769230766
2014-01-22,2014,1,22,Wednesday,03,2014-03,408.0,408.06,402.0,404.54,2060500,404.54,-0.006166267837658057,398.4321428571428,398.4321428571428
2014-01-23,2014,1,23,Thursday,03,2014-03,401.0,406.17,397.79,399.87,3025400,399.87,-0.011544008822592877,398.56785714285706,398.52799999999996
2014-01-24,2014,1,24,Friday,03,2014-03,398.16,400.2,387.27,387.6,4458400,387.6,-0.030684945516044504,397.93642857142856,397.84499999999997
2014-01-27,2014,1,27,Monday,04,2014-04,390.5,394.1,380.49,386.28,3936800,386.28,-0.0034055915981234808,397.41142857142853,397.1647058823529
2014-01-28,2014,1,28,Tuesday,04,2014-04,387.4,394.74,387.12,394.43,2894500,394.43,0.021098669157708416,397.1542857142857,397.0127777777777
2014-01-29,2014,1,29,Wednesday,04,2014-04,392.16,392.85,383.24,384.2,3382300,384.2,-0.025936112006469503,395.8885714285714,396.33842105263153
2014-01-30,2014,1,30,Thursday,04,2014-04,393.77,406.25,387.7,403.01,10473900,403.01,0.04895886767556301,396.03142857142853,396.67199999999997
2014-01-31,2014,1,31,Friday,04,2014-04,371.76,375.45,357.76,358.69,16154800,358.69,-0.10997247276809219,393.2478571428571,394.8633333333333
2014-02-03,2014,2,3,Monday,05,2014-05,358.98,360.85,340.1,346.15,10280800,346.15,-0.034960574478153594,390.04571428571427,392.64909090909083
2014-02-04,2014,2,4,Tuesday,05,2014-05,349.59,354.0,344.02,347.95,4812900,347.95,0.005200110767834332,386.5035714285714,390.70565217391305
2014-02-05,2014,2,5,Wednesday,05,2014-05,346.0,349.37,337.73,346.45,4435400,346.45,-0.004310964067756662,382.97357142857135,388.8616666666667
2014-02-06,2014,2,6,Thursday,05,2014-05,347.4,354.82,347.4,354.59,3335700,354.59,0.023495407256603373,380.0299999999999,387.49080000000004
2014-02-07,2014,2,7,Friday,05,2014-05,358.98,361.8,352.49,361.08,4330500,361.08,0.018302801267384483,377.2778571428571,386.475
2014-02-10,2014,2,10,Monday,06,2014-06,361.61,365.0,359.35,360.87,3449700,360.87,-0.0005815649243581245,373.97928571428565,385.5266666666667
2014-02-11,2014,2,11,Tuesday,06,2014-06,361.84,363.61,356.25,361.79,3222100,361.79,0.002549431762636889,370.9257142857142,384.6789285714286
2014-02-12,2014,2,12,Wednesday,06,2014-06,356.43,357.75,346.32,349.25,6587700,349.25,-0.034661013982548505,367.30999999999995,383.4572413793104
2014-02-13,2014,2,13,Thursday,06,2014-06,347.7,357.2,346.5,357.2,4175000,357.2,0.022763098660075087,365.1385714285713,382.5820000000001
2014-02-14,2014,2,14,Friday,06,2014-06,359.34,359.34,353.35,357.35,3520200,357.35,0.00041991570929011957,363.0721428571428,381.76806451612913
2014-02-18,2014,2,18,Tuesday,07,2014-07,355.28,355.73,349.45,353.65,4998000,353.65,-0.010354028666112458,360.1592857142856,380.8893750000001
2014-02-19,2014,2,19,Wednesday,07,2014-07,352.64,354.54,346.1,347.38,4168100,347.38,-0.017729362708563068,357.52928571428566,379.87393939393945
2014-02-20,2014,2,20,Thursday,07,2014-07,348.8,350.46,344.38,349.8,3492800,349.8,0.006966385157869404,353.72857142857134,378.9894117647059
2014-02-21,2014,2,21,Friday,07,2014-07,352.44,354.14,346.75,346.76,4210000,346.76,-0.008690617877159523,352.87642857142856,378.0685714285715
2014-02-24,2014,2,24,Monday,08,2014-08,345.19,353.0,343.29,351.78,3644700,351.78,0.01447683952098422,353.2785714285714,377.33833333333337
2014-02-25,2014,2,25,Tuesday,08,2014-08,353.0,361.08,351.58,358.32,3736400,358.32,0.018591189287668897,354.0192857142857,376.8243243243244
2014-02-26,2014,2,26,Wednesday,08,2014-08,359.86,364.75,357.17,359.8,3622100,359.8,0.004130331654662145,354.97285714285715,376.3763157894737
2014-02-27,2014,2,27,Thursday,08,2014-08,357.22,360.59,355.5,360.13,3104900,360.13,0.0009172237382999437,355.36857142857144,375.9597435897436
2014-02-28,2014,2,28,Friday,08,2014-08,360.6,365.87,357.08,362.1,3882000,362.1,0.005470250170751978,355.4414285714286,375.61325
2014-03-03,2014,3,3,Monday,09,2014-09,358.74,360.96,354.48,359.78,2798300,359.78,-0.006407089989265313,355.36357142857145,375.2270731707317
2014-03-04,2014,3,4,Tuesday,09,2014-09,363.9,365.68,362.46,363.9,2704400,363.9,0.011451429015415737,355.5142857142857,374.95738095238096
2014-03-05,2014,3,5,Wednesday,09,2014-09,364.13,372.73,363.9,372.37,3848300,372.37,0.0232756289166427,357.1657142857143,374.8972093023256
2014-03-06,2014,3,6,Thursday,09,2014-09,374.05,375.33,368.9,372.16,2926600,372.16,-0.0005639322658422818,358.2342857142857,374.83500000000004
2014-03-07,2014,3,7,Friday,09,2014-09,374.58,374.99,369.53,372.06,2279800,372.06,-0.00026871803130790184,359.28499999999997,374.7733333333334
2014-03-10,2014,3,10,Monday,10,2014-10,372.69,372.73,367.0,370.53,2105800,370.53,-0.004112236707349615,360.49071428571426,374.68108695652177
2014-03-11,2014,3,11,Tuesday,10,2014-10,370.99,372.8,367.28,368.82,2246100,368.82,-0.0046149878841433845,362.0221428571428,374.55638297872343
2014-03-12,2014,3,12,Wednesday,10,2014-10,366.4,371.16,363.61,370.64,2216600,370.64,0.004934676232514867,363.51071428571424,374.4747916666667
2014-03-13,2014,3,13,Thursday,10,2014-10,376.62,383.11,368.08,371.51,6829000,371.51,0.0023472779052544634,365.2785714285714,374.4142857142857
2014-03-14,2014,3,14,Friday,10,2014-10,372.8,378.57,371.55,373.74,4402200,373.74,0.006002477484137847,366.84714285714284,374.4008
2014-03-17,2014,3,17,Monday,11,2014-11,375.72,378.85,374.88,375.04,2303000,375.04,0.003478403019520737,368.0414285714286,373.9422
2014-03-18,2014,3,18,Tuesday,11,2014-11,377.32,379.0,375.0,378.77,2483500,378.77,0.009945553497669568,369.3964285714286,373.58880000000005
2014-03-19,2014,3,19,Wednesday,11,2014-11,378.77,379.0,369.42,373.23,2646700,373.23,-0.014626232774592296,370.3321428571429,373.18080000000003
2014-03-20,2014,3,20,Thursday,11,2014-11,370.64,373.0,366.22,368.97,2558500,368.97,-0.011413899312027853,370.8228571428572,372.59960000000007
2014-03-21,2014,3,21,Friday,11,2014-11,371.0,372.84,358.4,360.62,5414100,360.62,-0.022630582637857777,370.8828571428572,371.7736000000001
2014-03-24,2014,3,24,Monday,12,2014-12,360.09,361.5,348.6,351.85,4873500,351.85,-0.024319197860401376,370.02214285714297,370.7904000000001
2014-03-25,2014,3,25,Tuesday,12,2014-12,354.03,358.97,348.84,354.71,4445700,354.71,0.008128422060396545,368.7607142857144,369.93140000000005
2014-03-26,2014,3,26,Wednesday,12,2014-12,357.13,357.6,343.4,343.41,4120700,343.41,-0.03185697630510598,366.70714285714297,368.9800000000001
2014-03-27,2014,3,27,Thursday,12,2014-12,343.15,344.0,330.88,338.47,5766400,338.47,-0.014385144255339877,364.30785714285724,367.7986000000001
2014-03-28,2014,3,28,Friday,12,2014-12,340.05,347.0,336.08,338.29,3986800,338.29,-0.000531783245581896,362.0050000000001,366.6470000000001
